Total Population,Total Households,Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
2692,893,893,15,21,46,648,114,883,10,0,836,790,46
3884,1511,1511,17,839,218,27,33,1025,486,0,1399,1207,192
7014,2768,2768,767,615,223,435,166,1390,1378,0,2552,1533,1019
9136,4577,4577,1540,969,437,244,457,2102,2461,14,4232,2402,1830
3614,1167,1167,44,94,34,115,184,1069,98,0,1080,1042,38
6553,2995,2995,1203,1445,168,61,34,1122,1873,0,2818,2044,774
1827,800,800,256,435,78,30,0,684,116,0,794,639,155
7325,2232,2232,98,1544,364,115,41,1111,1121,0,2157,1506,651
4767,1650,1650,136,483,203,330,114,1617,0,33,1478,1384,94
4816,1601,1601,471,338,203,193,151,1421,177,3,1522,1256,266
3162,805,805,0,35,309,394,33,586,219,0,743,614,129
5715,2008,2008,11,462,967,300,151,1628,374,6,1846,1470,376
7356,2436,2436,57,587,322,626,298,2426,10,0,2271,2133,138
4495,1556,1556,71,241,381,332,74,1334,216,6,1450,1298,152
2601,894,894,255,137,200,122,100,867,27,0,864,794,70
7236,2371,2371,0,237,253,688,470,2366,5,0,2224,2059,165
9284,4005,4005,29,352,753,1067,1107,2529,1476,0,3691,2872,819
4198,1110,1110,13,475,471,40,13,1030,75,5,1043,991,52
4989,1721,1721,25,614,163,89,183,1559,157,5,1613,1436,177
1854,914,914,337,33,10,33,109,369,545,0,684,454,230
50,17,17,0,1,11,4,0,17,0,0,17,16,1
4949,2511,2511,1736,611,78,29,0,1365,1132,14,2359,1273,1086
8174,3483,3483,670,792,459,384,188,2575,896,12,3331,2416,915
1124,464,464,74,198,72,75,20,366,98,0,469,369,100
3151,1007,1007,89,120,609,139,13,916,91,0,945,882,63
0,0,0,0,0,0,0,0,0,0,0,0,0,0
7035,2681,2681,241,481,625,373,234,2065,590,26,2527,2066,461
0,0,0,0,0,0,0,0,0,0,0,0,0,0
2672,1155,1155,965,81,16,17,12,1058,97,0,1094,914,180
10,4,4,0,1,1,1,1,4,0,0,4,4,0
5333,1657,1657,10,149,170,509,590,1300,357,0,1597,1306,291
3576,1897,1897,1062,293,128,71,102,117,1770,10,1771,456,1315
5136,2082,2082,76,1148,216,166,288,483,1592,7,2008,518,1467
3570,1519,1519,1081,277,47,41,31,365,1149,5,1468,602,866
1917,918,918,548,217,68,40,12,581,332,5,860,491,369
3489,1210,1210,0,15,152,422,416,1205,5,0,1108,1049,59
4469,1314,1314,37,577,433,194,31,1314,0,0,1261,1163,98
6011,2249,2249,5,117,973,804,10,2071,178,0,2107,1953,154
5697,1444,1444,0,8,13,271,992,1422,22,0,1312,1228,84
7546,2370,2370,95,876,930,299,23,940,1388,42,2226,1580,646
6170,2428,2428,54,1611,695,44,11,2147,281,0,2335,1723,612
6555,2009,2009,0,15,34,916,496,2009,0,0,1863,1741,122
4316,1824,1824,12,468,78,222,176,1259,560,5,1715,1360,355
4915,2114,2114,1643,309,51,35,0,447,1536,131,1965,878,1087
6449,2642,2642,86,734,637,631,117,1533,1104,5,2558,1591,967
2327,819,819,76,397,82,61,85,706,113,0,705,682,23
4581,1823,1823,169,1199,170,175,3,541,1282,0,1706,716,990
4694,1771,1771,675,784,114,129,24,885,886,0,1712,824,888
3938,1532,1532,638,556,125,52,46,79,1409,44,1465,528,937
3892,2028,2028,218,1018,385,172,69,850,1178,0,1836,703,1133
5560,2089,2089,571,755,349,191,104,1992,87,10,1989,1809,180
3318,1223,1223,527,510,133,9,0,784,434,5,1184,761,423
6025,2391,2391,53,97,544,890,186,935,1451,5,2098,1717,381
2374,848,848,312,281,87,56,34,820,22,6,776,690,86
1045,657,657,297,135,166,46,11,81,546,30,650,133,517
2554,1250,1250,317,441,174,190,31,467,769,14,1152,549,603
4683,1864,1864,176,726,320,252,108,1566,289,9,1754,1369,385
3709,1728,1728,668,696,118,76,22,743,971,14,1627,848,779
8587,2977,2977,373,534,325,670,512,2818,154,5,2925,2765,160
3761,1502,1502,257,1090,80,50,0,867,626,9,1501,910,591
12968,4689,4689,0,2,13,34,1015,3209,1480,0,4305,3446,859
4795,2193,2193,708,584,164,93,99,1381,808,4,2036,1150,886
3410,1441,1441,38,15,49,99,170,676,765,0,1312,1238,74
3753,1230,1230,9,14,81,531,279,1107,123,0,1162,949,213
7104,2998,2998,757,892,308,293,257,1393,1597,8,2715,1491,1224
4395,1709,1709,534,463,214,181,66,1670,39,0,1600,1408,192
5281,2243,2243,377,1177,258,202,75,1610,633,0,2086,1509,577
6166,2084,2084,349,876,255,190,207,1151,933,0,1992,1666,326
4679,1899,1899,408,884,123,95,38,1247,638,14,1827,1411,416
7446,2172,2172,13,0,0,60,110,2161,11,0,1986,1834,152
3766,2079,2079,686,235,93,159,135,460,1615,4,1879,762,1117
4790,1844,1844,96,430,432,479,197,1257,587,0,1788,1404,384
5455,1493,1493,25,450,884,89,10,1321,167,5,1411,1308,103
9230,3594,3594,710,866,225,391,264,1459,2135,0,3330,1796,1534
9952,3026,3026,56,46,0,27,413,2835,187,4,2698,2469,229
4792,1964,1964,387,1188,158,97,28,1045,919,0,1944,1237,707
5366,2496,2496,613,681,473,318,157,570,1926,0,2316,1213,1103
2740,1117,1117,139,876,29,14,11,965,152,0,1046,858,188
5120,1998,1998,243,1393,136,178,13,257,1741,0,1915,778,1137
2854,1057,1057,332,481,103,56,21,988,59,10,983,874,109
4323,1837,1837,312,1046,267,138,25,1405,427,5,1739,931,808
