Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
4051,1441,68242.12,1441,323,199,53,182,526,911,525,5,1343,919,424
2329,1026,88172.37,1026,927,70,15,3,0,792,230,4,991,778,213
5276,2071,103853.38,2071,3,607,567,651,106,1418,652,1,1903,1522,381
5967,2203,82796.63,2203,133,1695,248,79,0,1397,806,0,2079,1272,807
4236,1419,91648.22,1419,0,7,127,938,143,914,505,0,1348,1186,162
3939,1329,301209.74,1329,712,121,84,139,50,1109,215,5,1230,997,233
4923,2458,44841.42,2458,515,1166,235,223,79,945,1498,15,2330,916,1414
4032,1540,78821.71,1540,423,365,334,277,68,1326,208,6,1420,1155,265
6488,2899,52939.18,2899,416,1658,434,248,29,1729,1170,0,2676,1491,1185
5542,2078,189620.73,2078,18,751,204,300,384,902,108,1068,2029,1604,405
3135,1520,67353.41,1520,151,476,707,144,7,593,927,0,1498,831,667
4305,1629,53348.57,1629,804,488,85,74,33,926,703,0,1523,1059,464
6673,3249,46132.57,3249,766,1085,541,483,66,671,2532,46,3116,1166,1950
4345,1449,108721.56,1449,13,113,341,389,425,1333,114,2,1348,1266,82
4428,1921,75305.45,1921,476,748,278,279,57,1425,490,6,1856,1235,621
1657,853,45016.27,853,476,145,100,43,26,0,853,0,798,209,589
7927,3621,59556.57,3621,33,141,601,502,834,38,3583,0,3257,1930,1327
6475,2535,94758.5,2535,35,1791,288,141,62,2109,426,0,2519,1937,582
14319,5152,90418.15,5152,78,142,54,40,38,3272,1860,20,4694,3910,784
3750,1935,54047.95,1935,1244,476,81,89,11,565,1340,30,1906,913,993
